Abogacía,Grado,"Facultad de Arquitectura, Urbanismo y Diseño"
Accidentología Vial,Grado,Facultad de Ciencias Agropecuarias
Acompañante Terapéutico,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Actividad física y deportiva,Grado,Facultad de Filosofía y Humanidades
"Actor de Teatro, cine y TV",Grado,Facultad de Ciencias Económicas
Actor y Director de Artes Escénicas,Grado,Facultad de Filosofía y Humanidades
Actuación,Grado,Facultad de Artes
Actuario,Grado,Facultad de Ciencias Sociales
Acuicultura,Grado,Facultad de Ciencias Sociales
Administración Aduanera - Despachante de Aduana,Grado,Facultad de Ciencias Agropecuarias
Administración Agropecuaria,Grado,Facultad de Ciencias Químicas
Administración Ambiental,Grado,Facultad de Lenguas
Administración de Agencias de Viajes y Turismo,Grado,Facultad de Derecho
Administración de Recursos Humanos,Grado,Facultad de Psicología
Administración y Sistemas,Grado,Facultad de Filosofía y Humanidades
Artes Electrónicas,Grado,Facultad de Ciencias Químicas
Biodiversidad,Grado,Facultad de Filosofía y Humanidades
Bioinformática,Grado,Facultad de Derecho
Bioingeniería,Grado,Facultad de Psicología
Administración Hotelera,Grado,Facultad de Ciencias Sociales
Agrimensura,Grado,Facultad de Derecho
Agronomía,Grado,Facultad de Ciencias Médicas
Análisis de sistemas,Grado,Facultad de Lenguas
Antropología,Grado,Facultad de Ciencias Químicas
Archivología,Grado,"Facultad de Arquitectura, Urbanismo y Diseño"
Arquitectura,Grado,Facultad de Filosofía y Humanidades
Arte Dramático (Teatro),Grado,Facultad de Artes
Artes Audiovisuales,Grado,Facultad de Ciencias de la Comunicación
Artes Plásticas,Grado,Facultad de Filosofía y Humanidades
Artes y Ciencias del Teatro,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Asesor - Asesoramiento en Imagen,Grado,Facultad de Odontología
Asesor en Imagen Corporativa,Grado,Facultad de Odontología
Asistente en Ceremonial y Organización,Grado,"Facultad de Matemática, Astronomía, Física y Computación "
Aviación,Grado,Facultad de Ciencias de la Comunicación
Azafata,Grado,"Facultad de Ciencias Exactas, Físicas y Naturales"
Bellas Artes,Grado,Facultad de Ciencias Agropecuarias
Bibliotecología,Grado,"Facultad de Arquitectura, Urbanismo y Diseño"
Bibliotecología y Ciencias de la Información,Grado,Facultad de Ciencias Químicas
Bioingeniería,Grado,Facultad de Ciencias de la Comunicación
Bioquímica,Grado,Facultad de Ciencias Económicas
Biotecnología,Grado,Facultad de Lenguas
Bromatología,Grado,Facultad de Psicología
Calígrafo público,Grado,Facultad de Artes
Ciencia Política,Grado,Facultad de Ciencias Agropecuarias
Ciencia y Tecnología de los Alimentos,Grado,Facultad de Lenguas
Ciencias Ambientales,Grado,Facultad de Odontología
Composición con Medios Electroacústicos,Grado,Facultad de Lenguas
Criminalística,Grado,Facultad de Psicología
Ciencias Antropológicas,Grado,Facultad de Derecho
Ciencias biológicas,Grado,Facultad de Ciencias Médicas
Ciencias de la Atmósfera,Grado,Facultad de Ciencias Médicas
Ciencias de la Computación,Grado,Facultad de Psicología
