id_estudiante,id_carrera,ingreso,egreso
100,6,2016,0
7,85,2007,2014
93,219,2006,2012
46,171,2007,2016
34,115,2000,2006
16,229,2019,0
69,78,2005,2015
41,215,2013,0
78,116,2003,2008
34,229,2014,0
90,58,2002,2009
46,90,2003,2010
45,51,2004,2013
22,27,2014,0
30,65,2010,0
24,93,2019,0
17,212,2013,0
33,88,2000,2008
89,221,2014,0
59,92,2008,2018
23,26,2017,0
21,165,2013,2018
78,130,2005,2012
56,174,2020,0
93,13,2010,2017
94,68,2017,0
5,74,2019,0
100,26,2020,0
39,210,2007,2013
52,190,2017,0
15,183,2005,2014
37,23,2014,0
9,2,2014,0
63,209,2006,2011
24,103,2013,0
16,94,2015,0
78,159,2012,0
33,170,2013,0
18,220,2008,2017
43,63,2003,2013
5,59,2018,0
14,238,2010,2017
41,39,2015,0
3,146,2016,0
22,232,2007,2012
97,181,2020,0
44,27,2020,0
95,62,2006,2011
99,80,2003,2013
55,166,2003,2008
31,140,2012,0
32,219,2002,2008
39,210,2020,0
59,89,2005,2012
59,135,2002,2011
55,64,2000,2008
45,173,2015,0
54,215,2015,0
41,149,2015,0
11,193,2006,2011
17,111,2010,2017
5,114,2012,0
98,207,2011,2017
49,189,2017,0
25,191,2004,2012
95,101,2012,0
14,219,2012,2019
72,215,2011,2016
8,121,2015,0
8,17,2002,2009
43,117,2017,0
15,17,2005,2015
55,50,2013,0
51,38,2008,2014
22,230,2015,0
76,234,2002,2008
5,102,2015,0
68,17,2009,2019
29,130,2004,2010
71,177,2000,2005
29,106,2009,2014
90,138,2002,2012
45,114,2007,2015
48,61,2014,0
40,114,2007,2017
79,102,2016,0
75,186,2013,0
16,177,2001,2009
76,151,2017,0
4,103,2011,2018
59,12,2014,2019
39,223,2003,2011
12,44,2010,2018
16,106,2017,0
44,198,2018,0
46,114,2018,0
49,149,2008,2016
57,179,2003,2012
54,239,2000,2008
5,234,2019,0
33,10,2002,2010
55,100,2002,2007
16,176,2006,2015
6,56,2008,2018
40,70,2016,0
68,10,2018,0
81,125,2019,0
20,37,2019,0
4,109,2013,2018
9,107,2018,0
3,166,2008,2014
59,200,2015,0
10,29,2017,0
12,186,2010,0
17,14,2009,2016
